ID   , holiday                  , temp   , rain_1h, snow_1h, clouds_all, weather_main, Rush Hour, traffic_volume
30194,                          , 273.95 ,    0.0 ,    0.0 ,          1, Mist        ,         0,           2855
 2067,                          , 275.26 ,    0.0 ,    0.0 ,         90, Mist        ,         0,           3021
39813,                          , 270.48 ,    0.0 ,    0.0 ,         40, Clouds      ,         0,            441
14498,                          , 284.61 ,    0.51,    0.0 ,         90, Rain        ,         1,           6885
24204,                          , 293.53 ,    0.25,    0.0 ,         92, Rain        ,         0,           4662
39106,                          , 274.15 ,    0.0 ,    0.0 ,          1, Clear       ,         0,           1413
 9761,                          , 276.08 ,    0.0 ,    0.0 ,         64, Clouds      ,         1,           3656
36160,                          , 293.81 ,    0.0 ,    0.0 ,          5, Clear       ,         0,           4991
38982,                          , 271.55 ,    0.0 ,    0.0 ,         90, Clouds      ,         0,           2914
40984,                          , 271.08 ,    0.0 ,    0.0 ,         40, Haze        ,         0,           1216
45492,                          , 291.62 ,    0.0 ,    0.0 ,          5, Clear       ,         0,           2152
10355,                          , 274.3  ,    1.27,    0.0 ,         64, Snow        ,         0,           4739
16421,                          , 299.67 ,    0.0 ,    0.0 ,         40, Clouds      ,         0,           6518
 9677,                          , 272.14 ,    0.0 ,    0.0 ,         64, Clouds      ,         0,           1611
25698,                          , 290.8  ,    0.0 ,    0.0 ,          0, Clear       ,         1,           1741
 8212,                          , 290.16 ,    0.0 ,    0.0 ,         92, Clouds      ,         0,           1818
30790,                          , 267.72 ,    0.0 ,    0.0 ,          1, Clear       ,         1,           2711
  778,                          , 276.93 ,    0.0 ,    0.0 ,         75, Clouds      ,         0,           2578
22484,                          , 290.4  ,    0.0 ,    0.0 ,          1, Clear       ,         0,           1336
 2846,                          , 274.8  ,    0.0 ,    0.0 ,         90, Mist        ,         0,            644
22322,                          , 274.76 ,    0.0 ,    0.0 ,         90, Snow        ,         0,            398
26428,                          , 294.4  ,    0.0 ,    0.0 ,         90, Rain        ,         0,           4392
15474,                          , 295.87 ,    0.0 ,    0.0 ,          0, Clear       ,         0,           4577
32185,                          , 280.69 ,    0.0 ,    0.0 ,         90, Clouds      ,         0,           5118
29333,                          , 276.28 ,    0.0 ,    0.0 ,         90, Clouds      ,         0,           6179
33073,                          , 275.22 ,    0.0 ,    0.0 ,         90, Mist        ,         1,           5583
32834,                          , 279.62 ,    0.0 ,    0.0 ,         90, Clouds      ,         1,           5889
39745,                          , 268.22 ,    0.0 ,    0.0 ,         90, Snow        ,         1,           3139
44437,                          , 305.17 ,    0.0 ,    0.0 ,          1, Clear       ,         0,           2825
15892,                          , 299.9  ,    0.0 ,    0.0 ,          1, Clear       ,         0,           6596
 6074,                          , 293.87 ,    0.0 ,    0.0 ,          1, Clear       ,         0,           2317
 7385,                          , 300.11 ,    0.0 ,    0.0 ,          1, Clear       ,         1,           5000
 3487,                          , 271.83 ,    0.0 ,    0.0 ,         90, Mist        ,         0,           1330
24996,                          , 296.494,    0.0 ,    0.0 ,         68, Clouds      ,         1,           3866
 3702,                          , 260.75 ,    0.0 ,    0.0 ,          1, Clear       ,         0,           2231
  703,                          , 276.34 ,    0.0 ,    0.0 ,         90, Clouds      ,         1,           4198
38568,                          , 275.08 ,    0.0 ,    0.0 ,         90, Drizzle     ,         0,           1713
22609,                          , 291.28 ,    0.0 ,    0.0 ,         75, Rain        ,         1,           6574
13982,                          , 279.67 ,    0.65,    0.0 ,         90, Rain        ,         0,            314
24567,                          , 294.88 ,    0.0 ,    0.0 ,         75, Rain        ,         0,           3917
10547,                          , 252.62 ,    0.0 ,    0.0 ,         40, Snow        ,         1,           4719
41765,                          , 272.62 ,    0.0 ,    0.0 ,          5, Clear       ,         0,           6368
 9867,                          , 271.52 ,    0.0 ,    0.0 ,         64, Mist        ,         0,           2605
 2786,                          , 271.42 ,    0.0 ,    0.0 ,         75, Haze        ,         0,           4677
38024,                          , 285.62 ,    0.0 ,    0.0 ,         90, Drizzle     ,         0,           5203
36681,                          , 292.54 ,    0.0 ,    0.0 ,         75, Rain        ,         0,           4320
43126,                          , 276.94 ,    0.0 ,    0.0 ,         75, Clouds      ,         0,           5123
 5234,                          , 277.56 ,    0.0 ,    0.0 ,         90, Clouds      ,         0,           3796
17864,                          , 301.57 ,    0.0 ,    0.0 ,          1, Clear       ,         0,           5773
22431,                          , 283.86 ,    0.0 ,    0.0 ,          5, Clear       ,         1,           5483
46922,                          , 291.61 ,    0.0 ,    0.0 ,          1, Clear       ,         0,           4583
32202,                          , 278.75 ,    0.0 ,    0.0 ,         90, Drizzle     ,         0,            581
32151,                          , 274.02 ,    0.0 ,    0.0 ,          1, Mist        ,         0,            366
41770,                          , 266.68 ,    0.0 ,    0.0 ,          5, Mist        ,         0,           3015
34879,                          , 296.79 ,    0.0 ,    0.0 ,          1, Clear       ,         1,           6018
11508,                          , 267.79 ,    0.25,    0.0 ,         64, Rain        ,         0,            956
25310,                          , 291.09 ,    0.0 ,    0.0 ,         90, Mist        ,         1,           5266
36734,                          , 289.36 ,    0.0 ,    0.0 ,         40, Fog         ,         1,           5783
19131,                          , 275.24 ,    0.0 ,    0.0 ,          1, Mist        ,         1,           6464
22440,                          , 285.87 ,    0.0 ,    0.0 ,          1, Clear       ,         0,           1106
34619,                          , 290.21 ,    0.0 ,    0.0 ,         75, Rain        ,         0,           1387
34617,                          , 290.27 ,    0.0 ,    0.0 ,         90, Mist        ,         0,           3075
26439,                          , 293.96 ,    0.0 ,    0.0 ,          1, Clear       ,         0,              7
32985,                          , 282.11 ,    0.0 ,    0.0 ,          1, Clear       ,         0,            580
34002,                          , 282.01 ,    0.0 ,    0.0 ,          1, Fog         ,         1,           6500
31913,                          , 271.01 ,    0.0 ,    0.0 ,          1, Clear       ,         1,           6601
 9570,                          , 276.12 ,    0.35,    0.0 ,         64, Drizzle     ,         1,           3867
33819,                          , 282.42 ,    0.0 ,    0.0 ,         90, Clouds      ,         0,            379
 5185,                          , 276.4  ,    0.0 ,    0.0 ,         90, Clouds      ,         0,           5248
48003,                          , 283.29 ,    0.0 ,    0.0 ,          1, Clear       ,         0,            910
17269,                          , 297.59 ,    0.0 ,    0.0 ,         40, Clouds      ,         0,           4759
12200,                          , 267.29 ,    0.0 ,    0.0 ,         90, Clouds      ,         1,           6344
16071,                          , 290.36 ,    0.88,    0.0 ,         90, Thunderstorm,         0,            489
 7078,                          , 292.02 ,    0.0 ,    0.0 ,          0, Clear       ,         1,           6541
23575,                          , 292.37 ,    0.51,    0.0 ,         75, Thunderstorm,         0,           2293
14073,                          , 289.629,    0.0 ,    0.0 ,         80, Clouds      ,         0,           2416
16810,                          , 294.07 ,    2.16,    0.0 ,         40, Rain        ,         0,            847
34153,                          , 282.68 ,    0.0 ,    0.0 ,          1, Clear       ,         1,           6462
 6332,                          , 282.76 ,    0.0 ,    0.0 ,         90, Rain        ,         0,           5227
12216,                          , 270.18 ,    0.0 ,    0.0 ,         90, Clouds      ,         1,           4994
32155,                          , 272.53 ,    0.0 ,    0.0 ,         20, Mist        ,         1,           6417
 4701,                          , 273.78 ,    0.0 ,    0.0 ,         90, Haze        ,         0,            765
17710,                          , 284.9  ,    0.0 ,    0.0 ,          1, Clear       ,         1,           5092
 9987,                          , 279.18 ,    0.0 ,    0.0 ,         64, Clouds      ,         0,           2867
10365,                          , 274.32 ,    0.25,    0.0 ,         90, Snow        ,         0,           5651
  512,                          , 285.33 ,    0.0 ,    0.0 ,         90, Clouds      ,         0,            959
33889,                          , 282.75 ,    0.0 ,    0.0 ,         90, Drizzle     ,         0,           3629
14335,                          , 281.07 ,    0.0 ,    0.0 ,         75, Clouds      ,         0,           1222
46487,                          , 297.14 ,    0.0 ,    0.0 ,         40, Clouds      ,         0,           4669
42435,                          , 276.61 ,    0.0 ,    0.0 ,         90, Clouds      ,         0,           2068
46833,                          , 293.61 ,    0.0 ,    0.0 ,          1, Clear       ,         1,           2895
 1679,                          , 275.01 ,    0.0 ,    0.0 ,         90, Mist        ,         0,           4810
11856,                          , 255.84 ,    0.0 ,    0.0 ,         20, Clouds      ,         1,           5177
41151,                          , 256.08 ,    0.0 ,    0.0 ,          1, Clear       ,         0,           4843
16346,                          , 294.68 ,    0.0 ,    0.0 ,         40, Smoke       ,         1,           5861
 1958,                          , 259.06 ,    0.0 ,    0.0 ,         20, Mist        ,         0,           1928
 9025,                          , 295.4  ,    0.0 ,    0.0 ,         90, Haze        ,         0,           5556
20197,                          , 271.68 ,    0.0 ,    0.0 ,         90, Mist        ,         0,           3015
13679,                          , 271.62 ,    0.0 ,    0.0 ,          1, Clear       ,         0,           5064
38441,                          , 273.44 ,    0.0 ,    0.0 ,          1, Clear       ,         1,           3847
31441,                          , 268.08 ,    0.0 ,    0.0 ,          5, Clear       ,         0,           2973
21410,                          , 272.49 ,    0.0 ,    0.0 ,          1, Clear       ,         0,           1987
38702,                          , 272.58 ,    0.0 ,    0.0 ,         90, Clouds      ,         1,           4235
21103,                          , 274.41 ,    0.0 ,    0.0 ,         90, Clouds      ,         1,           4434
 6673,                          , 291.85 ,    0.0 ,    0.0 ,         75, Clouds      ,         1,           3270
26149,                          , 298.79 ,    0.0 ,    0.0 ,          1, Clear       ,         0,           4163
16575,                          , 299.4  ,    0.25,    0.0 ,         40, Rain        ,         1,           6128
26687,                          , 290.79 ,    0.0 ,    0.0 ,         40, Clouds      ,         0,           4813
25805,                          , 299.38 ,    0.0 ,    0.0 ,          8, Clear       ,         1,           3091
32388,                          , 279.11 ,    0.0 ,    0.0 ,          1, Clear       ,         0,            678
 8947,                          , 286.87 ,    0.0 ,    0.0 ,         90, Drizzle     ,         0,           1236
 1869,                          , 272.41 ,    0.0 ,    0.0 ,         90, Snow        ,         0,           3761
15593,                          , 297.66 ,    0.0 ,    0.0 ,         40, Clouds      ,         0,           5829
38998,                          , 272.08 ,    0.0 ,    0.0 ,         90, Clouds      ,         0,           4977
16530,                          , 297.48 ,    0.0 ,    0.0 ,          1, Rain        ,         0,           2424
21243,                          , 260.48 ,    0.0 ,    0.0 ,          1, Clear       ,         0,           5858
25054,                          , 297.888,    0.0 ,    0.0 ,          0, Clear       ,         0,            868
14451,                          , 284.49 ,    5.27,    0.0 ,         92, Thunderstorm,         0,           4463
11725,                          , 272.15 ,    0.0 ,    0.0 ,         64, Snow        ,         0,           4880
 9597,                          , 276.48 ,    0.0 ,    0.0 ,         90, Drizzle     ,         1,           4354
 9891,                          , 278.91 ,    0.0 ,    0.0 ,         40, Clouds      ,         0,            387
19622,                          , 266.43 ,    0.0 ,    0.0 ,         40, Clouds      ,         0,            791
19999,                          , 274.87 ,    0.0 ,    0.0 ,         90, Rain        ,         0,           5532
 5630,                          , 295.83 ,    0.0 ,    0.0 ,          1, Clear       ,         1,           4533
31249,                          , 272.95 ,    0.0 ,    0.0 ,         90, Clouds      ,         1,           6257
  449,                          , 280.96 ,    0.0 ,    0.0 ,         96, Drizzle     ,         0,            759
43639,                          , 275.79 ,    0.0 ,    0.0 ,         75, Clouds      ,         0,            382
17863,                          , 300.9  ,    0.0 ,    0.0 ,          1, Clear       ,         0,           5351
 1112,                          , 287.6  ,    0.0 ,    0.0 ,         20, Mist        ,         0,           3666
 2371,                          , 263.26 ,    0.0 ,    0.0 ,         75, Clouds      ,         0,           1787
43355,                          , 270.36 ,    0.0 ,    0.0 ,          1, Clear       ,         0,           3626
48139,                          , 280.94 ,    0.0 ,    0.0 ,          1, Clear       ,         0,           4574
11216,                          , 266.63 ,    0.0 ,    0.0 ,         64, Clouds      ,         1,           2157
14916,                          , 297.43 ,    0.0 ,    0.0 ,         88, Rain        ,         0,           5577
19774,                          , 273.94 ,    0.0 ,    0.0 ,         90, Rain        ,         1,           4740
25780,                          , 296.15 ,    0.28,    0.0 ,          0, Rain        ,         1,           3881
13904,                          , 279.62 ,    0.25,    0.0 ,         90, Rain        ,         0,           3078
29193,                          , 261.65 ,    0.0 ,    0.0 ,         90, Snow        ,         1,           2344
13308,                          , 280.9  ,    0.0 ,    0.0 ,         40, Clouds      ,         0,            582
27004,                          , 289.84 ,    0.0 ,    0.0 ,         24, Clouds      ,         1,           3593
35284,                          , 302.37 ,    0.0 ,    0.0 ,          1, Clear       ,         0,           5744
 3623,                          , 273.44 ,    0.0 ,    0.0 ,         90, Snow        ,         0,            792
25447,                          , 296.35 ,    0.0 ,    0.0 ,          1, Clear       ,         0,            432
45849,                          , 300.81 ,    0.0 ,    0.0 ,         40, Clouds      ,         0,           4524
14293,                          , 281.44 ,    0.25,    0.0 ,         90, Rain        ,         0,           2871
33606,                          , 289.08 ,    0.0 ,    0.0 ,          5, Clear       ,         1,           3214
31959,                          , 275.75 ,    0.0 ,    0.0 ,         90, Clouds      ,         0,           5574
27912,                          , 281.55 ,    0.0 ,    0.0 ,          1, Clear       ,         0,            238
31670,                          , 263.03 ,    0.0 ,    0.0 ,          1, Clear       ,         0,           2645
43236,                          , 271.09 ,    0.0 ,    0.0 ,         90, Mist        ,         1,           1755
40386,                          , 247.08 ,    0.0 ,    0.0 ,          1, Clear       ,         0,           1129
 2835,                          , 274.18 ,    0.0 ,    0.0 ,         90, Drizzle     ,         0,           1629
23017,                          , 286.75 ,    0.0 ,    0.0 ,          1, Clear       ,         0,           1092
12841,                          , 277.83 ,    0.0 ,    0.0 ,         90, Clouds      ,         0,           4856
14584,                          , 293.86 ,    0.0 ,    0.0 ,          1, Clear       ,         0,           5062
39716,                          , 266.08 ,    0.0 ,    0.0 ,         90, Snow        ,         0,           6407
42800,                          , 269.69 ,    0.0 ,    0.0 ,          1, Clear       ,         0,           4548
38155,                          , 278.86 ,    0.0 ,    0.0 ,         75, Clouds      ,         1,           5181
36265,                          , 288.15 ,    0.0 ,    0.0 ,          1, Fog         ,         0,            268
27416,                          , 282.865,    0.0 ,    0.0 ,         24, Clouds      ,         1,           6322
47945,                          , 288.18 ,    0.25,    0.0 ,         90, Rain        ,         0,            867
19536,                          , 283.53 ,    0.0 ,    0.0 ,         90, Rain        ,         0,           4749
42342,                          , 274.94 ,    0.0 ,    0.0 ,          1, Clear       ,         0,           1810
37822,                          , 285.72 ,    0.0 ,    0.0 ,         90, Mist        ,         0,            405
20142,                          , 273.14 ,    0.0 ,    0.0 ,         90, Haze        ,         0,           5654
15655,                          , 297.3  ,    0.0 ,    0.0 ,         90, Clouds      ,         0,            380
45417,                          , 300.15 ,    0.0 ,    0.0 ,         75, Clouds      ,         1,           4842
42298,                          , 270.75 ,    0.0 ,    0.0 ,          1, Clear       ,         0,            301
33547,                          , 286.89 ,    0.0 ,    0.0 ,          5, Clear       ,         0,           3076
21523,                          , 274.93 ,    0.0 ,    0.0 ,          1, Clear       ,         0,            822
 5249,                          , 274.79 ,    0.0 ,    0.0 ,         90, Mist        ,         0,           1532
44481,                          , 303.58 ,    0.0 ,    0.0 ,         20, Clouds      ,         0,           4866
15616,                          , 295.92 ,    0.0 ,    0.0 ,         90, Clouds      ,         0,           4407
30122,                          , 272.08 ,    0.0 ,    0.0 ,         90, Mist        ,         0,            307
34940,                          , 291.55 ,    0.0 ,    0.0 ,         90, Rain        ,         1,           4784
17077,                          , 298.28 ,    0.0 ,    0.0 ,         40, Clouds      ,         0,           5664
 4383,                          , 270.8  ,    0.0 ,    0.0 ,         90, Snow        ,         1,           5005
35161,                          , 290.53 ,    0.0 ,    0.0 ,          1, Haze        ,         0,           1403
46241,                          , 293.36 ,    0.0 ,    0.0 ,         40, Rain        ,         0,           3001
44341,                          , 300.88 ,    0.0 ,    0.0 ,          1, Clear       ,         0,           4923
  203,                          , 272.52 ,    0.0 ,    0.0 ,          1, Clear       ,         1,           6304
17906,                          , 296.65 ,    0.0 ,    0.0 ,         90, Rain        ,         0,           5466
29909,                          , 269.62 ,    0.0 ,    0.0 ,         40, Clouds      ,         0,            880
25342,                          , 298.32 ,    0.0 ,    0.0 ,         20, Clouds      ,         0,           5697
24036,                          , 291.24 ,    0.0 ,    0.0 ,         12, Clouds      ,         0,           4558
33804,                          , 282.36 ,    0.0 ,    0.0 ,          1, Clear       ,         0,           5078
26767,                          , 292.5  ,    0.0 ,    0.0 ,         88, Rain        ,         0,            997
 1631,                          , 275.91 ,    0.0 ,    0.0 ,         90, Mist        ,         0,            447
  952,                          , 278.56 ,    0.0 ,    0.0 ,         90, Drizzle     ,         0,           1671
11278,                          , 247.84 ,    0.0 ,    0.0 ,          1, Clear       ,         0,            272
31532,                          , 284.08 ,    0.0 ,    0.0 ,         90, Rain        ,         1,           4802
18396,                          , 286.92 ,    0.89,    0.0 ,         90, Rain        ,         0,           2901
43826,                          , 285.84 ,    0.0 ,    0.0 ,         40, Clouds      ,         1,           3095
34010,                          , 292.95 ,    0.0 ,    0.0 ,         40, Clouds      ,         0,           5814
40130,                          , 256.15 ,    0.0 ,    0.0 ,          1, Clear       ,         0,           3074
15945,                          , 300.4  ,    0.0 ,    0.0 ,         40, Clouds      ,         0,           5869
19630,                          , 274.0  ,    0.0 ,    0.0 ,         90, Clouds      ,         0,           4066
21367,                          , 271.01 ,    0.0 ,    0.0 ,          1, Clear       ,         1,           6593
39759,                          , 264.31 ,    0.0 ,    0.0 ,         75, Snow        ,         1,           5573
 4087,                          , 269.31 ,    0.0 ,    0.0 ,         90, Clouds      ,         1,           4520
22321,                          , 275.72 ,    0.0 ,    0.0 ,         90, Drizzle     ,         0,            739
 6632,                          , 283.67 ,    0.0 ,    0.0 ,         90, Clouds      ,         0,            319
43149,                          , 273.72 ,    0.0 ,    0.0 ,          1, Mist        ,         1,           6475
43896,                          , 293.62 ,    0.0 ,    0.0 ,          1, Clear       ,         0,            356
16560,                          , 290.23 ,    0.0 ,    0.0 ,         40, Rain        ,         0,            380
29625,                          , 270.97 ,    0.0 ,    0.0 ,          1, Clear       ,         0,           1818
47289,                          , 301.98 ,    0.25,    0.0 ,          1, Rain        ,         0,           4649
10654,                          , 261.14 ,    0.0 ,    0.0 ,         90, Snow        ,         0,           2957
31628,                          , 258.76 ,    0.0 ,    0.0 ,          1, Clear       ,         0,           2505
31516,                          , 283.15 ,    0.0 ,    0.0 ,         90, Clouds      ,         0,           2198
28489,                          , 273.15 ,    0.0 ,    0.0 ,          1, Mist        ,         1,           2411
13202,                          , 275.71 ,    0.0 ,    0.0 ,         75, Clouds      ,         0,           5384
18435,                          , 286.63 ,    0.0 ,    0.0 ,          1, Clear       ,         1,           3364
38255,                          , 285.57 ,    0.0 ,    0.0 ,         90, Clouds      ,         0,            369
26745,                          , 286.19 ,    0.0 ,    0.0 ,          0, Clear       ,         0,            578
12834,                          , 276.57 ,    0.25,    0.0 ,         90, Rain        ,         0,           5338
18950,                          , 286.99 ,    0.0 ,    0.0 ,          1, Clear       ,         0,           2651
 5123,                          , 274.52 ,    0.0 ,    0.0 ,         90, Clouds      ,         0,           3681
13534,                          , 285.59 ,    0.0 ,    0.0 ,         75, Clouds      ,         0,           5330
47464,                          , 287.97 ,    1.02,    0.0 ,          5, Rain        ,         0,           1629
 3123,                          , 248.48 ,    0.0 ,    0.0 ,         20, Clouds      ,         1,           6106
19896,                          , 275.22 ,    0.0 ,    0.0 ,         90, Fog         ,         0,            531
 2955,                          , 260.82 ,    0.0 ,    0.0 ,         20, Clouds      ,         1,           5739
18910,                          , 289.35 ,    0.0 ,    0.0 ,          1, Clear       ,         0,           2817
26699,                          , 284.96 ,    0.0 ,    0.0 ,          1, Clear       ,         0,           1617
38178,                          , 285.48 ,    0.0 ,    0.0 ,         40, Clouds      ,         1,           5358
22379,                          , 287.15 ,    0.0 ,    0.0 ,          1, Clear       ,         0,           4807
45734,                          , 297.0  ,    0.0 ,    0.0 ,         75, Clouds      ,         1,           5025
35644,                          , 292.86 ,    0.0 ,    0.0 ,          1, Drizzle     ,         0,            345
18928,                          , 287.47 ,    0.0 ,    0.0 ,          1, Clear       ,         0,            327
32371,                          , 279.65 ,    0.0 ,    0.0 ,          1, Mist        ,         1,           7065
11409,                          , 277.41 ,    0.72,    0.0 ,         64, Rain        ,         0,           3881
27388,                          , 290.823,    0.0 ,    0.0 ,         24, Rain        ,         0,            297
16980,                          , 300.76 ,    0.0 ,    0.0 ,          1, Clear       ,         0,           5026
26409,                          , 293.44 ,    0.0 ,    0.0 ,         90, Mist        ,         0,            315
27338,                          , 291.613,    0.0 ,    0.0 ,         12, Clouds      ,         0,           2800
27643,                          , 281.915,    0.0 ,    0.0 ,         56, Clouds      ,         0,            380
43357,                          , 272.01 ,    0.0 ,    0.0 ,         90, Snow        ,         0,           4149
41814,                          , 270.55 ,    0.0 ,    0.0 ,         90, Snow        ,         0,           3247
41692,                          , 256.28 ,    0.0 ,    0.0 ,          1, Clear       ,         0,           5569
 6427,                          , 286.95 ,    0.0 ,    0.0 ,         90, Clouds      ,         0,           2242
14712,                          , 299.52 ,    0.0 ,    0.0 ,         20, Clouds      ,         1,           3519
23966,                          , 298.71 ,    0.0 ,    0.0 ,         20, Clouds      ,         0,           4656
30658,                          , 274.08 ,    0.0 ,    0.0 ,         75, Clouds      ,         1,           5655
45441,                          , 299.62 ,    0.0 ,    0.0 ,          1, Clear       ,         1,           2840
 6657,                          , 282.41 ,    0.0 ,    0.0 ,          1, Clear       ,         0,            336
37072,                          , 299.08 ,    0.0 ,    0.0 ,          1, Clear       ,         0,           6445
36777,                          , 286.02 ,    0.0 ,    0.0 ,          1, Clear       ,         0,            910
15531,                          , 289.53 ,    0.0 ,    0.0 ,         40, Clouds      ,         0,           2073
 9267,                          , 286.7  ,    0.64,    0.0 ,         92, Mist        ,         0,           3250
25389,                          , 301.01 ,    0.0 ,    0.0 ,         75, Clouds      ,         0,           4039
 1378,                          , 279.47 ,    0.0 ,    0.0 ,         75, Clouds      ,         1,           1119
35136,                          , 297.9  ,    0.0 ,    0.0 ,         40, Clouds      ,         0,            826
23182,                          , 284.83 ,    0.51,    0.0 ,         90, Drizzle     ,         0,            343
18274,                          , 293.64 ,    0.0 ,    0.0 ,          5, Clear       ,         1,           5395
32964,                          , 283.62 ,    0.0 ,    0.0 ,          1, Clear       ,         0,            410
25493,                          , 297.7  ,    0.0 ,    0.0 ,          0, Clear       ,         1,           3089
34077,                          , 289.29 ,    0.0 ,    0.0 ,          1, Clear       ,         1,           2877
43627,                          , 288.73 ,    0.0 ,    0.0 ,         40, Clouds      ,         0,           6560
